,amount virgin,amount recyclate high,amount recyclate low,amount reused parts,amount standard parts,cars in garage,amount leakage,price virgin,price recyclate
0,3152.428787343685,187.57121265632114,0.0,264,3736,165,0.0,3.54587444837831,2.2593814388330427
1,3046.6430375724644,181.3569624275399,0.0,277,3451,125,0.0,3.7564791572654683,2.762105880758179
2,2876.638901360996,171.36109863901117,0.0,259,3521,183,0.0,4.103046791743569,2.62951677127017
3,3282.102039189517,185.89796081048286,0.0,238,3514,71,0.0,5.273516653306785,2.367875432262854
4,3563.893775415041,196.1062245849588,0.0,230,3530,0,0.0,8.008681915012643,2.553850451954764
5,3580.856465479291,179.1435345207082,0.0,214,3578,8,0.0,9.347020729712417,2.6227489235996027
6,3514.5926174909555,165.40738250904417,0.0,246,3502,17,0.0,11.266642818486233,2.478077499047396
7,3533.9620837275743,154.03791627242572,0.0,264,3456,8,0.0,14.92743513353904,2.5584930420816665
8,3582.168431359619,149.83156864038375,0.0,263,3469,0,0.0,18.140810051140708,2.4556196029845827
9,3558.426677570489,133.5733224295122,0.0,299,3413,5,0.0,15.399830971757234,2.475143522026786
10,3419.2120147333694,116.78798526663064,0.0,310,3406,45,0.0,16.912368852295366,2.415606490357905
11,3449.2223772783823,106.77762272161567,0.0,332,3360,34,0.0,15.980138786057779,2.574289756810174
12,3498.3275262165503,93.67247378344739,0.0,351,3357,29,0.0,18.72167692806313,2.6122491758650286
13,3553.9687086586646,78.03129134133025,0.0,353,3359,20,0.0,21.071998077263327,2.7020811135146516
14,3672.5473610456634,67.4526389543307,0.0,349,3415,6,0.0,25.951857442445913,2.4306714578927586
15,3608.4983077019037,55.5016922980921,0.0,320,3456,28,0.0,24.420260327022564,2.5111271800581627
16,3742.2059388654898,45.794061134507274,0.0,308,3480,0,0.0,30.198837386447064,2.6798718060875024
17,3737.006233344099,38.993766655900494,0.0,306,3538,17,0.0,38.51983328591621,2.4205867716571072
18,3634.701525324327,33.298474675673184,0.0,343,3493,42,0.0,44.84875723563132,2.3681539195809904
19,3785.8886555003173,30.111344499680012,0.0,351,3521,14,0.0,46.97977905745402,2.5174785095003243
20,3869.4520789885673,26.547921011429974,0.0,322,3574,0,0.0,52.539803789339494,2.2717375235368715
21,3851.309055223176,20.690944776821365,0.0,277,3615,5,0.0,58.510467943565494,2.5826607654855094
22,3675.6295754474836,16.370424552513455,0.0,270,3602,45,0.0,81.23978700674841,2.4266813771777307
23,3876.7851419994845,15.214858000512509,0.0,239,3653,0,0.0,71.30761039777842,2.5322204423157744
24,3859.342157708434,12.657842291563192,0.0,234,3638,0,0.0,83.23446819971122,2.4642636071709125
25,3826.198342819274,9.801657180724176,0.0,192,3660,4,0.0,108.22147308850178,2.6168016006078094
26,3828.3381625154275,7.661837484570704,0.0,164,3672,0,0.0,74.43238142160462,2.322937898253939
27,3802.420027377113,5.579972622885117,0.0,152,3656,0,0.0,91.03373578195675,2.6447742346139487
28,3756.1599247869326,3.8400752130663904,0.0,138,3622,0,0.0,99.96650349369575,2.3660406039269146
29,3777.50004724764,2.4999527523588023,0.0,143,3637,0,0.0,91.97875871769936,2.084373395445463
30,3818.516856252535,1.4831437474638423,0.0,153,3667,0,0.0,130.81346343795744,2.502716766983533
31,3830.9267645544937,1.0732354455060311,0.0,171,3661,0,0.0,166.5522790643656,2.7135607038820426
32,3763.103746076206,0.8962539237939319,0.0,182,3582,0,0.0,135.19435588489014,2.417846031263601
33,3775.4480539069323,0.5519460930674321,0.0,198,3578,0,0.0,143.30054980570534,2.378304842536755
34,3799.65903377976,0.3409662202396954,0.0,220,3580,0,0.0,155.13235975292466,2.5581885062966783
35,3795.65903377976,0.3409662202396954,0.0,222,3574,0,0.0,149.10044442996585,2.4877886005083463
36,3815.65903377976,0.3409662202396954,0.0,237,3579,0,0.0,154.09740790759213,2.5069401283892585
37,3791.771662212301,0.2283377876985964,0.0,233,3559,0,0.0,157.04335552327538,2.42914492870723
38,3775.8276501821774,0.17234981782261433,0.0,207,3585,4,0.0,165.25845715953062,2.8045451030609403
39,3847.890397020047,0.10960297995292181,0.0,203,3645,0,0.0,210.95592456992094,2.496078916416677
40,3779.9447861914887,0.0552138085112936,0.0,216,3564,0,0.0,194.7384637897494,2.5878410153926827
41,3855.9447861914887,0.0552138085112936,0.0,202,3654,0,0.0,210.4660154673355,2.8064800924778
42,3855.9447861914887,0.0552138085112936,0.0,229,3627,0,0.0,222.40143624025237,2.368522766563951
43,3827.9447861914887,0.0552138085112936,0.0,231,3597,0,0.0,255.23317616500302,2.3313557776713862
44,3795.9447861914887,0.0552138085112936,0.0,230,3566,0,0.0,284.5841199868978,2.3722422782489323
45,3815.9447861914887,0.0552138085112936,0.0,225,3591,0,0.0,310.59865425209017,2.599335679706993
46,3803.9447861914887,0.0552138085112936,0.0,236,3568,0,0.0,371.7784761396947,2.5387567423191286
47,3839.9447861914887,0.0552138085112936,0.0,221,3619,0,0.0,420.4730039545986,2.432909507585845
48,3867.9447861914887,0.0552138085112936,0.0,264,3604,0,0.0,392.64779258577255,2.4945382893770573
49,3803.9447861914887,0.0552138085112936,0.0,264,3540,0,0.0,353.87163652900045,2.5352432103992353
0,3091.795798797857,184.20420120214786,0.0,284,3716,181,0.0,3.486804092763112,2.510439253828533
1,3466.946339891514,201.053660108485,0.0,281,3387,0,0.0,3.4675933916487387,2.485146858222813
